Local time,Open,High,Low,Close,Volume
01.11.2010 00:00:00.000 GMT-0700,1.39779,1.39794,1.39740,1.39752,38.1
01.11.2010 00:01:00.000 GMT-0700,1.39751,1.39777,1.39725,1.39744,49.3
01.11.2010 00:02:00.000 GMT-0700,1.39748,1.39767,1.39694,1.39742,56.4
01.11.2010 00:03:00.000 GMT-0700,1.39733,1.39764,1.39695,1.39747,62.4
01.11.2010 00:04:00.000 GMT-0700,1.39733,1.39784,1.39713,1.39741,52
01.11.2010 00:05:00.000 GMT-0700,1.39720,1.39755,1.39706,1.39727,57.2
01.11.2010 00:06:00.000 GMT-0700,1.39740,1.39775,1.39712,1.39752,61.3
01.11.2010 00:07:00.000 GMT-0700,1.39778,1.39783,1.39732,1.39747,97.1
01.11.2010 00:08:00.000 GMT-0700,1.39748,1.39778,1.39713,1.39742,58.3
01.11.2010 00:09:00.000 GMT-0700,1.39744,1.39764,1.39673,1.39678,82.2
01.11.2010 00:10:00.000 GMT-0700,1.39675,1.39718,1.39655,1.39678,68.9
01.11.2010 00:11:00.000 GMT-0700,1.39687,1.39721,1.39663,1.39714,59
01.11.2010 00:12:00.000 GMT-0700,1.39702,1.39791,1.39698,1.39765,64
01.11.2010 00:13:00.000 GMT-0700,1.39759,1.39765,1.39675,1.39722,98.5
01.11.2010 00:14:00.000 GMT-0700,1.39733,1.39758,1.39715,1.39746,49.7
01.11.2010 00:15:00.000 GMT-0700,1.39754,1.39760,1.39714,1.39737,56.6
01.11.2010 00:16:00.000 GMT-0700,1.39736,1.39767,1.39711,1.39755,55.2
01.11.2010 00:17:00.000 GMT-0700,1.39731,1.39765,1.39687,1.39711,46.8
01.11.2010 00:18:00.000 GMT-0700,1.39687,1.39709,1.39617,1.39649,37.6
01.11.2010 00:19:00.000 GMT-0700,1.39640,1.39656,1.39596,1.39626,55.3
01.11.2010 00:20:00.000 GMT-0700,1.39633,1.39696,1.39605,1.39647,68.6
01.11.2010 00:21:00.000 GMT-0700,1.39633,1.39661,1.39597,1.39645,43.3
01.11.2010 00:22:00.000 GMT-0700,1.39630,1.39659,1.39612,1.39646,56
01.11.2010 00:23:00.000 GMT-0700,1.39641,1.39716,1.39618,1.39698,80.3
01.11.2010 00:24:00.000 GMT-0700,1.39703,1.39744,1.39678,1.39720,45.5
01.11.2010 00:25:00.000 GMT-0700,1.39718,1.39729,1.39636,1.39666,70.4
01.11.2010 00:26:00.000 GMT-0700,1.39652,1.39662,1.39574,1.39604,41.7
01.11.2010 00:27:00.000 GMT-0700,1.39598,1.39648,1.39558,1.39632,108.9
01.11.2010 00:28:00.000 GMT-0700,1.39628,1.39656,1.39580,1.39629,52.4
01.11.2010 00:29:00.000 GMT-0700,1.39663,1.39663,1.39585,1.39618,61.9
01.11.2010 00:30:00.000 GMT-0700,1.39617,1.39659,1.39594,1.39636,62.4
01.11.2010 00:31:00.000 GMT-0700,1.39638,1.39650,1.39596,1.39643,46
01.11.2010 00:32:00.000 GMT-0700,1.39648,1.39676,1.39608,1.39670,52.7
01.11.2010 00:33:00.000 GMT-0700,1.39670,1.39699,1.39634,1.39690,68.5
01.11.2010 00:34:00.000 GMT-0700,1.39692,1.39707,1.39645,1.39669,75.4
01.11.2010 00:35:00.000 GMT-0700,1.39670,1.39690,1.39627,1.39674,69.4
01.11.2010 00:36:00.000 GMT-0700,1.39686,1.39708,1.39653,1.39683,65.6
01.11.2010 00:37:00.000 GMT-0700,1.39676,1.39689,1.39624,1.39656,72.7
01.11.2010 00:38:00.000 GMT-0700,1.39653,1.39665,1.39617,1.39655,57.1
01.11.2010 00:39:00.000 GMT-0700,1.39644,1.39665,1.39614,1.39653,60.3
01.11.2010 00:40:00.000 GMT-0700,1.39654,1.39731,1.39612,1.39723,66.7
01.11.2010 00:41:00.000 GMT-0700,1.39729,1.39757,1.39703,1.39755,84.1
01.11.2010 00:42:00.000 GMT-0700,1.39739,1.39775,1.39726,1.39754,47.9
01.11.2010 00:43:00.000 GMT-0700,1.39764,1.39779,1.39727,1.39772,44
01.11.2010 00:44:00.000 GMT-0700,1.39764,1.39789,1.39732,1.39768,51.3
01.11.2010 00:45:00.000 GMT-0700,1.39758,1.39770,1.39714,1.39736,96.4
01.11.2010 00:46:00.000 GMT-0700,1.39707,1.39743,1.39683,1.39683,39.9
01.11.2010 00:47:00.000 GMT-0700,1.39685,1.39737,1.39671,1.39719,58.2
01.11.2010 00:48:00.000 GMT-0700,1.39708,1.39750,1.39685,1.39746,63
01.11.2010 00:49:00.000 GMT-0700,1.39728,1.39745,1.39667,1.39688,54.4
01.11.2010 00:50:00.000 GMT-0700,1.39686,1.39709,1.39609,1.39647,77.1
01.11.2010 00:51:00.000 GMT-0700,1.39660,1.39687,1.39646,1.39651,57.1
01.11.2010 00:52:00.000 GMT-0700,1.39655,1.39668,1.39603,1.39644,75.9
01.11.2010 00:53:00.000 GMT-0700,1.39658,1.39687,1.39633,1.39666,76
01.11.2010 00:54:00.000 GMT-0700,1.39676,1.39691,1.39643,1.39666,108.5
01.11.2010 00:55:00.000 GMT-0700,1.39675,1.39755,1.39639,1.39728,54.9
01.11.2010 00:56:00.000 GMT-0700,1.39729,1.39750,1.39693,1.39732,63.9
01.11.2010 00:57:00.000 GMT-0700,1.39719,1.39742,1.39657,1.39688,88.6
01.11.2010 00:58:00.000 GMT-0700,1.39687,1.39747,1.39666,1.39714,90.5
01.11.2010 00:59:00.000 GMT-0700,1.39727,1.39757,1.39684,1.39732,70.1
01.11.2010 01:00:00.000 GMT-0700,1.39747,1.39786,1.39705,1.39780,90.1
01.11.2010 01:01:00.000 GMT-0700,1.39767,1.39797,1.39715,1.39738,48.2
01.11.2010 01:02:00.000 GMT-0700,1.39756,1.39769,1.39712,1.39748,102.4
01.11.2010 01:03:00.000 GMT-0700,1.39746,1.39764,1.39695,1.39727,77.1
01.11.2010 01:04:00.000 GMT-0700,1.39716,1.39748,1.39673,1.39722,104.8
01.11.2010 01:05:00.000 GMT-0700,1.39724,1.39743,1.39677,1.39724,140.4
01.11.2010 01:06:00.000 GMT-0700,1.39723,1.39749,1.39695,1.39718,125.2
01.11.2010 01:07:00.000 GMT-0700,1.39719,1.39776,1.39691,1.39752,74.5
01.11.2010 01:08:00.000 GMT-0700,1.39752,1.39769,1.39697,1.39732,71.5
01.11.2010 01:09:00.000 GMT-0700,1.39734,1.39749,1.39694,1.39716,63.9
01.11.2010 01:10:00.000 GMT-0700,1.39703,1.39722,1.39675,1.39699,140.5
01.11.2010 01:11:00.000 GMT-0700,1.39696,1.39714,1.39655,1.39675,62.8
01.11.2010 01:12:00.000 GMT-0700,1.39663,1.39682,1.39635,1.39663,91.5
01.11.2010 01:13:00.000 GMT-0700,1.39662,1.39669,1.39602,1.39651,106.9
01.11.2010 01:14:00.000 GMT-0700,1.39644,1.39658,1.39594,1.39638,81.7
01.11.2010 01:15:00.000 GMT-0700,1.39623,1.39655,1.39565,1.39615,74.8
01.11.2010 01:16:00.000 GMT-0700,1.39617,1.39629,1.39563,1.39587,53.1
01.11.2010 01:17:00.000 GMT-0700,1.39570,1.39587,1.39527,1.39537,111.3
01.11.2010 01:18:00.000 GMT-0700,1.39535,1.39586,1.39514,1.39554,75
01.11.2010 01:19:00.000 GMT-0700,1.39550,1.39569,1.39476,1.39504,63.7
01.11.2010 01:20:00.000 GMT-0700,1.39518,1.39534,1.39433,1.39474,55.7
01.11.2010 01:21:00.000 GMT-0700,1.39469,1.39497,1.39429,1.39484,56.8
01.11.2010 01:22:00.000 GMT-0700,1.39504,1.39516,1.39444,1.39470,49.9
01.11.2010 01:23:00.000 GMT-0700,1.39445,1.39526,1.39432,1.39515,64.2
01.11.2010 01:24:00.000 GMT-0700,1.39517,1.39537,1.39483,1.39497,85.7
01.11.2010 01:25:00.000 GMT-0700,1.39489,1.39508,1.39447,1.39473,42.5
01.11.2010 01:26:00.000 GMT-0700,1.39457,1.39499,1.39438,1.39483,59.2
01.11.2010 01:27:00.000 GMT-0700,1.39478,1.39524,1.39445,1.39508,69.1
01.11.2010 01:28:00.000 GMT-0700,1.39509,1.39560,1.39484,1.39544,49
01.11.2010 01:29:00.000 GMT-0700,1.39555,1.39588,1.39524,1.39558,86.8
01.11.2010 01:30:00.000 GMT-0700,1.39565,1.39580,1.39523,1.39562,78
01.11.2010 01:31:00.000 GMT-0700,1.39564,1.39640,1.39544,1.39625,50.9
01.11.2010 01:32:00.000 GMT-0700,1.39631,1.39636,1.39574,1.39599,204.1
01.11.2010 01:33:00.000 GMT-0700,1.39573,1.39606,1.39524,1.39549,97.8
