Local time,Open,High,Low,Close,Volume
02.11.2008 14:00:00.000 GMT-0800,1.27450,1.27450,1.27435,1.27450,12.6
02.11.2008 14:01:00.000 GMT-0800,1.27452,1.27452,1.27422,1.27433,273
02.11.2008 14:02:00.000 GMT-0800,1.27430,1.27433,1.27430,1.27433,2.4
02.11.2008 14:03:00.000 GMT-0800,1.27450,1.27460,1.27450,1.27460,9.6
02.11.2008 14:04:00.000 GMT-0800,1.27455,1.27480,1.27450,1.27480,10.8
02.11.2008 14:05:00.000 GMT-0800,1.27505,1.27505,1.27470,1.27485,19.2
02.11.2008 14:06:00.000 GMT-0800,1.27485,1.27500,1.27485,1.27500,4.2
02.11.2008 14:07:00.000 GMT-0800,1.27500,1.27500,1.27465,1.27485,22.8
02.11.2008 14:08:00.000 GMT-0800,1.27475,1.27485,1.27455,1.27465,27.6
02.11.2008 14:09:00.000 GMT-0800,1.27460,1.27465,1.27390,1.27425,50.4
02.11.2008 14:10:00.000 GMT-0800,1.27410,1.27430,1.27410,1.27430,13.8
02.11.2008 14:11:00.000 GMT-0800,1.27445,1.27450,1.27445,1.27450,3.6
02.11.2008 14:12:00.000 GMT-0800,1.27445,1.27450,1.27435,1.27435,5.4
02.11.2008 14:13:00.000 GMT-0800,1.27435,1.27445,1.27435,1.27445,3
02.11.2008 14:14:00.000 GMT-0800,1.27430,1.27450,1.27430,1.27445,22.9
02.11.2008 14:15:00.000 GMT-0800,1.27445,1.27455,1.27445,1.27455,22.2
02.11.2008 14:16:00.000 GMT-0800,1.27455,1.27470,1.27435,1.27435,37.2
02.11.2008 14:17:00.000 GMT-0800,1.27445,1.27450,1.27430,1.27435,25.8
02.11.2008 14:18:00.000 GMT-0800,1.27435,1.27445,1.27413,1.27445,35.5
02.11.2008 14:19:00.000 GMT-0800,1.27420,1.27440,1.27420,1.27440,25.8
02.11.2008 14:20:00.000 GMT-0800,1.27460,1.27460,1.27415,1.27445,58.8
02.11.2008 14:21:00.000 GMT-0800,1.27460,1.27460,1.27413,1.27445,84
02.11.2008 14:22:00.000 GMT-0800,1.27415,1.27415,1.27415,1.27415,6
02.11.2008 14:23:00.000 GMT-0800,1.27420,1.27420,1.27390,1.27390,64.8
02.11.2008 14:24:00.000 GMT-0800,1.27390,1.27400,1.27375,1.27390,238.4
02.11.2008 14:25:00.000 GMT-0800,1.27390,1.27405,1.27385,1.27395,100.9
02.11.2008 14:26:00.000 GMT-0800,1.27390,1.27400,1.27385,1.27390,12
02.11.2008 14:27:00.000 GMT-0800,1.27395,1.27405,1.27395,1.27395,16.8
02.11.2008 14:28:00.000 GMT-0800,1.27388,1.27390,1.27355,1.27355,166.1
02.11.2008 14:29:00.000 GMT-0800,1.27365,1.27368,1.27365,1.27368,7.2
02.11.2008 14:30:00.000 GMT-0800,1.27371,1.27445,1.27369,1.27435,215.6
02.11.2008 14:31:00.000 GMT-0800,1.27435,1.27442,1.27370,1.27395,201.9
02.11.2008 14:32:00.000 GMT-0800,1.27420,1.27420,1.27420,1.27420,1.8
02.11.2008 14:33:00.000 GMT-0800,1.27385,1.27410,1.27385,1.27400,21
02.11.2008 14:34:00.000 GMT-0800,1.27385,1.27425,1.27385,1.27425,27.5
02.11.2008 14:35:00.000 GMT-0800,1.27425,1.27445,1.27395,1.27410,359.1
02.11.2008 14:36:00.000 GMT-0800,1.27410,1.27445,1.27400,1.27425,200.5
02.11.2008 14:37:00.000 GMT-0800,1.27435,1.27465,1.27415,1.27420,128.4
02.11.2008 14:38:00.000 GMT-0800,1.27415,1.27445,1.27390,1.27440,192.8
02.11.2008 14:39:00.000 GMT-0800,1.27445,1.27445,1.27445,1.27445,3.6
02.11.2008 14:40:00.000 GMT-0800,1.27435,1.27475,1.27435,1.27475,15
02.11.2008 14:41:00.000 GMT-0800,1.27475,1.27475,1.27475,1.27475,7.2
02.11.2008 14:42:00.000 GMT-0800,1.27475,1.27485,1.27475,1.27475,31.9
02.11.2008 14:43:00.000 GMT-0800,1.27465,1.27475,1.27465,1.27475,15.6
02.11.2008 14:44:00.000 GMT-0800,1.27475,1.27475,1.27475,1.27475,3.6
02.11.2008 14:45:00.000 GMT-0800,1.27490,1.27502,1.27481,1.27487,361.7
02.11.2008 14:46:00.000 GMT-0800,1.27475,1.27475,1.27475,1.27475,3.6
02.11.2008 14:47:00.000 GMT-0800,1.27494,1.27494,1.27460,1.27486,75.6
02.11.2008 14:48:00.000 GMT-0800,1.27465,1.27485,1.27465,1.27485,18
02.11.2008 14:49:00.000 GMT-0800,1.27495,1.27500,1.27495,1.27500,2.4
02.11.2008 14:50:00.000 GMT-0800,1.27500,1.27500,1.27500,1.27500,1.2
02.11.2008 14:51:00.000 GMT-0800,1.27505,1.27531,1.27503,1.27531,46.3
02.11.2008 14:52:00.000 GMT-0800,1.27528,1.27528,1.27473,1.27482,231.1
02.11.2008 14:53:00.000 GMT-0800,1.27490,1.27490,1.27476,1.27476,12
02.11.2008 14:54:00.000 GMT-0800,1.27474,1.27515,1.27474,1.27515,24.6
