Local time,Open,High,Low,Close,Volume
01.05.2006 00:00:00.000 GMT-0700,1.26264,1.26291,1.26247,1.26275,2985.1
01.05.2006 00:05:00.000 GMT-0700,1.26277,1.26286,1.26245,1.26256,1972.4
01.05.2006 00:10:00.000 GMT-0700,1.26267,1.26273,1.26234,1.26244,2535.3999999999996
01.05.2006 00:15:00.000 GMT-0700,1.26234,1.26258,1.26230,1.26235,2050.7
01.05.2006 00:20:00.000 GMT-0700,1.26234,1.26248,1.26228,1.26235,2033.6
01.05.2006 00:25:00.000 GMT-0700,1.26234,1.26268,1.26234,1.26264,2704.0999999999995
01.05.2006 00:30:00.000 GMT-0700,1.26252,1.26268,1.26230,1.26254,2757.1
01.05.2006 00:35:00.000 GMT-0700,1.26231,1.26245,1.26216,1.26227,1730.7
01.05.2006 00:40:00.000 GMT-0700,1.26230,1.26235,1.26165,1.26165,2669.7
01.05.2006 00:45:00.000 GMT-0700,1.26166,1.26177,1.26147,1.26172,2016.3
01.05.2006 00:50:00.000 GMT-0700,1.26175,1.26183,1.26161,1.26182,1851.5
01.05.2006 00:55:00.000 GMT-0700,1.26187,1.26190,1.26165,1.26173,2825.8999999999996
01.05.2006 01:00:00.000 GMT-0700,1.26172,1.26175,1.26152,1.26152,2313
01.05.2006 01:05:00.000 GMT-0700,1.26158,1.26173,1.26149,1.26154,2137.6
01.05.2006 01:10:00.000 GMT-0700,1.26163,1.26178,1.26147,1.26150,2491.6
01.05.2006 01:15:00.000 GMT-0700,1.26163,1.26171,1.26132,1.26151,2757.9
01.05.2006 01:20:00.000 GMT-0700,1.26152,1.26152,1.26131,1.26140,2751.8
01.05.2006 01:25:00.000 GMT-0700,1.26140,1.26143,1.26120,1.26124,1946.5000000000002
01.05.2006 01:30:00.000 GMT-0700,1.26139,1.26158,1.26135,1.26153,1957.7
01.05.2006 01:35:00.000 GMT-0700,1.26155,1.26156,1.26133,1.26143,2095.3
01.05.2006 01:40:00.000 GMT-0700,1.26144,1.26153,1.26129,1.26147,2706.2999999999997
01.05.2006 01:45:00.000 GMT-0700,1.26143,1.26148,1.26131,1.26148,1925.2
01.05.2006 01:50:00.000 GMT-0700,1.26140,1.26146,1.26127,1.26143,1580.9
01.05.2006 01:55:00.000 GMT-0700,1.26140,1.26144,1.26122,1.26142,2023.7
01.05.2006 02:00:00.000 GMT-0700,1.26145,1.26148,1.26131,1.26145,1142.5
01.05.2006 02:05:00.000 GMT-0700,1.26131,1.26166,1.26131,1.26159,2589.2999999999997
01.05.2006 02:10:00.000 GMT-0700,1.26148,1.26165,1.26147,1.26154,1240
01.05.2006 02:15:00.000 GMT-0700,1.26165,1.26176,1.26152,1.26170,1617.5
01.05.2006 02:20:00.000 GMT-0700,1.26150,1.26165,1.26145,1.26149,2503.5
01.05.2006 02:25:00.000 GMT-0700,1.26163,1.26163,1.26134,1.26142,2894.5
01.05.2006 02:30:00.000 GMT-0700,1.26144,1.26155,1.26130,1.26150,2238.1
01.05.2006 02:35:00.000 GMT-0700,1.26146,1.26155,1.26137,1.26148,2165
01.05.2006 02:40:00.000 GMT-0700,1.26153,1.26160,1.26129,1.26129,2426.5
01.05.2006 02:45:00.000 GMT-0700,1.26138,1.26146,1.26127,1.26136,2324.3
01.05.2006 02:50:00.000 GMT-0700,1.26128,1.26178,1.26128,1.26172,2726.4
01.05.2006 02:55:00.000 GMT-0700,1.26175,1.26190,1.26169,1.26181,1964.4
01.05.2006 03:00:00.000 GMT-0700,1.26193,1.26193,1.26156,1.26168,2315.9
01.05.2006 03:05:00.000 GMT-0700,1.26172,1.26175,1.26133,1.26137,2071.8
01.05.2006 03:10:00.000 GMT-0700,1.26132,1.26146,1.26120,1.26130,2529.1000000000004
01.05.2006 03:15:00.000 GMT-0700,1.26125,1.26168,1.26125,1.26151,2080.7
01.05.2006 03:20:00.000 GMT-0700,1.26162,1.26165,1.26140,1.26153,1939.7
01.05.2006 03:25:00.000 GMT-0700,1.26143,1.26173,1.26140,1.26155,2410
01.05.2006 03:30:00.000 GMT-0700,1.26153,1.26163,1.26092,1.26133,2280.8
01.05.2006 03:35:00.000 GMT-0700,1.26136,1.26148,1.26121,1.26141,2873.1
01.05.2006 03:40:00.000 GMT-0700,1.26145,1.26163,1.26134,1.26153,2340.1
01.05.2006 03:45:00.000 GMT-0700,1.26148,1.26162,1.26142,1.26153,2082.3
01.05.2006 03:50:00.000 GMT-0700,1.26153,1.26165,1.26137,1.26165,2231.7999999999997
01.05.2006 03:55:00.000 GMT-0700,1.26155,1.26165,1.26137,1.26165,1759.4
01.05.2006 04:00:00.000 GMT-0700,1.26163,1.26163,1.26134,1.26158,1990.7
01.05.2006 04:05:00.000 GMT-0700,1.26147,1.26204,1.26124,1.26186,2837
01.05.2006 04:10:00.000 GMT-0700,1.26198,1.26231,1.26198,1.26225,2417.9
01.05.2006 04:15:00.000 GMT-0700,1.26228,1.26258,1.26214,1.26254,2746.5
01.05.2006 04:20:00.000 GMT-0700,1.26243,1.26260,1.26212,1.26216,2063.6000000000004
01.05.2006 04:25:00.000 GMT-0700,1.26210,1.26239,1.26210,1.26232,2905.6
01.05.2006 04:30:00.000 GMT-0700,1.26222,1.26242,1.26187,1.26188,2513.9
01.05.2006 04:35:00.000 GMT-0700,1.26182,1.26254,1.26177,1.26240,2445.7
01.05.2006 04:40:00.000 GMT-0700,1.26245,1.26253,1.26210,1.26251,1719.3000000000002
01.05.2006 04:45:00.000 GMT-0700,1.26250,1.26250,1.26222,1.26237,2620.2
01.05.2006 04:50:00.000 GMT-0700,1.26253,1.26264,1.26226,1.26230,2500.6
01.05.2006 04:55:00.000 GMT-0700,1.26235,1.26271,1.26223,1.26263,2296.5
01.05.2006 05:00:00.000 GMT-0700,1.26268,1.26276,1.26244,1.26248,2338.6
01.05.2006 05:05:00.000 GMT-0700,1.26259,1.26411,1.26256,1.26401,3502
01.05.2006 05:10:00.000 GMT-0700,1.26387,1.26397,1.26339,1.26339,2472.9999999999995
01.05.2006 05:15:00.000 GMT-0700,1.26338,1.26383,1.26313,1.26348,2084.6000000000004
01.05.2006 05:20:00.000 GMT-0700,1.26364,1.26426,1.26363,1.26390,2276.1
01.05.2006 05:25:00.000 GMT-0700,1.26385,1.26394,1.26274,1.26293,3079.6000000000004
01.05.2006 05:30:00.000 GMT-0700,1.26274,1.26302,1.26186,1.26286,2265.4
01.05.2006 05:35:00.000 GMT-0700,1.26287,1.26405,1.26277,1.26399,1928.4
01.05.2006 05:40:00.000 GMT-0700,1.26412,1.26457,1.26392,1.26419,3056.4
01.05.2006 05:45:00.000 GMT-0700,1.26422,1.26447,1.26395,1.26421,2811.9
01.05.2006 05:50:00.000 GMT-0700,1.26426,1.26507,1.26399,1.26503,2293.1
01.05.2006 05:55:00.000 GMT-0700,1.26499,1.26765,1.26493,1.26691,2189.7
01.05.2006 06:00:00.000 GMT-0700,1.26656,1.26749,1.26656,1.26720,2303.9
01.05.2006 06:05:00.000 GMT-0700,1.26702,1.26847,1.26687,1.26847,2679.1
01.05.2006 06:10:00.000 GMT-0700,1.26848,1.26873,1.26746,1.26753,2728.5
01.05.2006 06:15:00.000 GMT-0700,1.26769,1.26819,1.26750,1.26777,3099.7999999999997
01.05.2006 06:20:00.000 GMT-0700,1.26770,1.26802,1.26750,1.26753,2681.1
01.05.2006 06:25:00.000 GMT-0700,1.26759,1.26781,1.26740,1.26745,2499.1000000000004
01.05.2006 06:30:00.000 GMT-0700,1.26753,1.26788,1.26687,1.26788,2552.3
01.05.2006 06:35:00.000 GMT-0700,1.26793,1.26822,1.26730,1.26807,2563.6
01.05.2006 06:40:00.000 GMT-0700,1.26801,1.26814,1.26726,1.26793,2126
01.05.2006 06:45:00.000 GMT-0700,1.26790,1.26790,1.26675,1.26690,2279.3
01.05.2006 06:50:00.000 GMT-0700,1.26706,1.26706,1.26552,1.26559,2355
01.05.2006 06:55:00.000 GMT-0700,1.26570,1.26618,1.26549,1.26571,2215
01.05.2006 07:00:00.000 GMT-0700,1.26528,1.26564,1.26407,1.26516,2968.4
01.05.2006 07:05:00.000 GMT-0700,1.26518,1.26537,1.26433,1.26437,2938.3
01.05.2006 07:10:00.000 GMT-0700,1.26443,1.26450,1.26307,1.26307,2714.3999999999996
01.05.2006 07:15:00.000 GMT-0700,1.26313,1.26386,1.26311,1.26382,2396.9
01.05.2006 07:20:00.000 GMT-0700,1.26394,1.26529,1.26383,1.26471,2061.8
01.05.2006 07:25:00.000 GMT-0700,1.26463,1.26640,1.26447,1.26640,2863.4
