Local time,Open,High,Low,Close,Volume
01.11.2006 00:00:00.000 GMT-0800,1.27474,1.27476,1.27438,1.27445,902.9
01.11.2006 00:01:00.000 GMT-0800,1.27442,1.27448,1.27430,1.27438,887.4
01.11.2006 00:02:00.000 GMT-0800,1.27448,1.27459,1.27435,1.27439,881.3
01.11.2006 00:03:00.000 GMT-0800,1.27448,1.27461,1.27432,1.27437,724.9
01.11.2006 00:04:00.000 GMT-0800,1.27441,1.27441,1.27420,1.27425,778.7
01.11.2006 00:05:00.000 GMT-0800,1.27438,1.27445,1.27429,1.27437,490.7
01.11.2006 00:06:00.000 GMT-0800,1.27437,1.27453,1.27422,1.27438,677.8
01.11.2006 00:07:00.000 GMT-0800,1.27447,1.27450,1.27431,1.27438,526
01.11.2006 00:08:00.000 GMT-0800,1.27423,1.27446,1.27417,1.27441,1139.9
01.11.2006 00:09:00.000 GMT-0800,1.27439,1.27461,1.27435,1.27452,977
01.11.2006 00:10:00.000 GMT-0800,1.27443,1.27462,1.27443,1.27462,500.6
01.11.2006 00:11:00.000 GMT-0800,1.27453,1.27460,1.27436,1.27438,424.4
01.11.2006 00:12:00.000 GMT-0800,1.27461,1.27489,1.27461,1.27482,587.4
01.11.2006 00:13:00.000 GMT-0800,1.27480,1.27497,1.27455,1.27485,612.1
01.11.2006 00:14:00.000 GMT-0800,1.27496,1.27516,1.27477,1.27477,1310.1
01.11.2006 00:15:00.000 GMT-0800,1.27460,1.27510,1.27460,1.27473,569.7
01.11.2006 00:16:00.000 GMT-0800,1.27483,1.27483,1.27454,1.27454,655.6
01.11.2006 00:17:00.000 GMT-0800,1.27469,1.27487,1.27460,1.27469,797
01.11.2006 00:18:00.000 GMT-0800,1.27478,1.27495,1.27465,1.27471,913.5
01.11.2006 00:19:00.000 GMT-0800,1.27457,1.27485,1.27447,1.27485,389.3
01.11.2006 00:20:00.000 GMT-0800,1.27473,1.27499,1.27454,1.27490,750.7
01.11.2006 00:21:00.000 GMT-0800,1.27490,1.27499,1.27468,1.27495,923.2
01.11.2006 00:22:00.000 GMT-0800,1.27491,1.27496,1.27476,1.27485,1019.4
01.11.2006 00:23:00.000 GMT-0800,1.27487,1.27492,1.27471,1.27480,767.9
01.11.2006 00:24:00.000 GMT-0800,1.27482,1.27491,1.27478,1.27485,585.8
01.11.2006 00:25:00.000 GMT-0800,1.27490,1.27492,1.27458,1.27462,872.9
01.11.2006 00:26:00.000 GMT-0800,1.27475,1.27484,1.27444,1.27464,1006.6
01.11.2006 00:27:00.000 GMT-0800,1.27441,1.27464,1.27441,1.27456,436.7
01.11.2006 00:28:00.000 GMT-0800,1.27453,1.27474,1.27443,1.27468,1015.8
01.11.2006 00:29:00.000 GMT-0800,1.27453,1.27470,1.27436,1.27458,922.6
01.11.2006 00:30:00.000 GMT-0800,1.27463,1.27479,1.27457,1.27468,517.7
01.11.2006 00:31:00.000 GMT-0800,1.27470,1.27476,1.27424,1.27432,447.2
01.11.2006 00:32:00.000 GMT-0800,1.27451,1.27469,1.27448,1.27466,1040.4
01.11.2006 00:33:00.000 GMT-0800,1.27448,1.27463,1.27441,1.27458,789.2
01.11.2006 00:34:00.000 GMT-0800,1.27464,1.27470,1.27434,1.27445,787.5
01.11.2006 00:35:00.000 GMT-0800,1.27450,1.27463,1.27447,1.27458,631
01.11.2006 00:36:00.000 GMT-0800,1.27459,1.27464,1.27446,1.27452,603.4
01.11.2006 00:37:00.000 GMT-0800,1.27443,1.27445,1.27421,1.27432,806.9
01.11.2006 00:38:00.000 GMT-0800,1.27439,1.27454,1.27430,1.27444,893.8
01.11.2006 00:39:00.000 GMT-0800,1.27455,1.27463,1.27420,1.27451,700.2
01.11.2006 00:40:00.000 GMT-0800,1.27459,1.27464,1.27448,1.27454,570.2
01.11.2006 00:41:00.000 GMT-0800,1.27456,1.27472,1.27444,1.27451,754.1
01.11.2006 00:42:00.000 GMT-0800,1.27466,1.27483,1.27457,1.27474,685.5
01.11.2006 00:43:00.000 GMT-0800,1.27478,1.27480,1.27464,1.27480,487.7
01.11.2006 00:44:00.000 GMT-0800,1.27454,1.27487,1.27452,1.27470,897.2
01.11.2006 00:45:00.000 GMT-0800,1.27488,1.27517,1.27488,1.27501,416.5
