Local time,Open,High,Low,Close,Volume
01.09.2006 00:00:00.000 GMT-0700,1.28066,1.28081,1.28046,1.28057,3990.1
01.09.2006 00:05:00.000 GMT-0700,1.28046,1.28053,1.28004,1.28014,3380.3
01.09.2006 00:10:00.000 GMT-0700,1.28026,1.28047,1.27995,1.28040,4660.7
01.09.2006 00:15:00.000 GMT-0700,1.28010,1.28042,1.27993,1.28012,3734.5
01.09.2006 00:20:00.000 GMT-0700,1.27999,1.28042,1.27979,1.28020,4018.3999999999996
01.09.2006 00:25:00.000 GMT-0700,1.28016,1.28066,1.28000,1.28056,3271.7
01.09.2006 00:30:00.000 GMT-0700,1.28064,1.28069,1.28015,1.28047,4147.1
01.09.2006 00:35:00.000 GMT-0700,1.28040,1.28063,1.28030,1.28060,3305.6
01.09.2006 00:40:00.000 GMT-0700,1.28050,1.28063,1.28010,1.28010,3131.3999999999996
01.09.2006 00:45:00.000 GMT-0700,1.28032,1.28056,1.28017,1.28031,3073
01.09.2006 00:50:00.000 GMT-0700,1.28041,1.28050,1.28011,1.28038,3406.2
01.09.2006 00:55:00.000 GMT-0700,1.28052,1.28052,1.28017,1.28030,4010.3
01.09.2006 01:00:00.000 GMT-0700,1.28031,1.28058,1.28021,1.28051,3543.2
01.09.2006 01:05:00.000 GMT-0700,1.28061,1.28075,1.28009,1.28060,3715.6000000000004
01.09.2006 01:10:00.000 GMT-0700,1.28049,1.28097,1.28031,1.28086,4206.8
01.09.2006 01:15:00.000 GMT-0700,1.28085,1.28108,1.28055,1.28096,3251.3
01.09.2006 01:20:00.000 GMT-0700,1.28100,1.28141,1.28097,1.28122,4333.8
01.09.2006 01:25:00.000 GMT-0700,1.28103,1.28127,1.28094,1.28100,3621.8
01.09.2006 01:30:00.000 GMT-0700,1.28113,1.28122,1.28082,1.28110,3866.6000000000004
01.09.2006 01:35:00.000 GMT-0700,1.28111,1.28143,1.28105,1.28130,3557.8
01.09.2006 01:40:00.000 GMT-0700,1.28150,1.28182,1.28143,1.28162,3952.7000000000003
01.09.2006 01:45:00.000 GMT-0700,1.28153,1.28205,1.28150,1.28191,3165.7999999999997
01.09.2006 01:50:00.000 GMT-0700,1.28192,1.28226,1.28174,1.28209,4095.8
01.09.2006 01:55:00.000 GMT-0700,1.28209,1.28227,1.28186,1.28190,3636.7999999999997
01.09.2006 02:00:00.000 GMT-0700,1.28206,1.28218,1.28170,1.28181,2650.4
01.09.2006 02:05:00.000 GMT-0700,1.28176,1.28194,1.28155,1.28174,4021.3999999999996
01.09.2006 02:10:00.000 GMT-0700,1.28159,1.28174,1.28142,1.28165,3197
01.09.2006 02:15:00.000 GMT-0700,1.28173,1.28185,1.28158,1.28172,4071
01.09.2006 02:20:00.000 GMT-0700,1.28172,1.28185,1.28141,1.28145,3271.7000000000003
01.09.2006 02:25:00.000 GMT-0700,1.28170,1.28178,1.28147,1.28162,3903.7
01.09.2006 02:30:00.000 GMT-0700,1.28156,1.28163,1.28112,1.28133,4187.6
01.09.2006 02:35:00.000 GMT-0700,1.28130,1.28167,1.28127,1.28165,4206.900000000001
01.09.2006 02:40:00.000 GMT-0700,1.28163,1.28174,1.28136,1.28152,4614.8
01.09.2006 02:45:00.000 GMT-0700,1.28134,1.28180,1.28125,1.28169,3505.1
01.09.2006 02:50:00.000 GMT-0700,1.28165,1.28188,1.28138,1.28173,4324.6
01.09.2006 02:55:00.000 GMT-0700,1.28180,1.28185,1.28138,1.28142,3490
01.09.2006 03:00:00.000 GMT-0700,1.28163,1.28163,1.28121,1.28134,3523.1000000000004
01.09.2006 03:05:00.000 GMT-0700,1.28127,1.28139,1.28103,1.28128,3809.8999999999996
01.09.2006 03:10:00.000 GMT-0700,1.28138,1.28149,1.28106,1.28136,3724.7
01.09.2006 03:15:00.000 GMT-0700,1.28135,1.28152,1.28115,1.28124,4005.2
01.09.2006 03:20:00.000 GMT-0700,1.28124,1.28140,1.28112,1.28128,3319.2999999999997
01.09.2006 03:25:00.000 GMT-0700,1.28123,1.28151,1.28106,1.28134,3532.5
01.09.2006 03:30:00.000 GMT-0700,1.28145,1.28152,1.28112,1.28124,3839
01.09.2006 03:35:00.000 GMT-0700,1.28131,1.28148,1.28115,1.28140,4292
01.09.2006 03:40:00.000 GMT-0700,1.28137,1.28161,1.28102,1.28145,4214.5
01.09.2006 03:45:00.000 GMT-0700,1.28146,1.28162,1.28132,1.28146,3629.5
01.09.2006 03:50:00.000 GMT-0700,1.28150,1.28170,1.28128,1.28151,3458.8
01.09.2006 03:55:00.000 GMT-0700,1.28134,1.28158,1.28121,1.28125,3364.3999999999996
01.09.2006 04:00:00.000 GMT-0700,1.28135,1.28153,1.28107,1.28137,3895.1000000000004
01.09.2006 04:05:00.000 GMT-0700,1.28134,1.28169,1.28114,1.28145,3647.5
01.09.2006 04:10:00.000 GMT-0700,1.28147,1.28157,1.28111,1.28143,3155.5000000000005
01.09.2006 04:15:00.000 GMT-0700,1.28145,1.28165,1.28125,1.28152,4207.8
01.09.2006 04:20:00.000 GMT-0700,1.28155,1.28203,1.28149,1.28191,3345.8
01.09.2006 04:25:00.000 GMT-0700,1.28178,1.28195,1.28162,1.28174,3462.5
01.09.2006 04:30:00.000 GMT-0700,1.28173,1.28236,1.28173,1.28210,4799.5
01.09.2006 04:35:00.000 GMT-0700,1.28208,1.28226,1.28178,1.28213,3268.0999999999995
01.09.2006 04:40:00.000 GMT-0700,1.28209,1.28214,1.28160,1.28199,3475
01.09.2006 04:45:00.000 GMT-0700,1.28196,1.28220,1.28159,1.28173,3053.1
01.09.2006 04:50:00.000 GMT-0700,1.28180,1.28200,1.28163,1.28187,4630.5
01.09.2006 04:55:00.000 GMT-0700,1.28162,1.28178,1.28125,1.28141,3684.2
01.09.2006 05:00:00.000 GMT-0700,1.28133,1.28200,1.28122,1.28164,2951.5
01.09.2006 05:05:00.000 GMT-0700,1.28161,1.28179,1.28134,1.28167,4147.6
01.09.2006 05:10:00.000 GMT-0700,1.28162,1.28174,1.28113,1.28136,3225.5
01.09.2006 05:15:00.000 GMT-0700,1.28157,1.28185,1.28106,1.28141,3764.3
01.09.2006 05:20:00.000 GMT-0700,1.28177,1.28239,1.28153,1.28171,3108.1000000000004
01.09.2006 05:25:00.000 GMT-0700,1.28178,1.28252,1.27943,1.27986,4335.499999999999
01.09.2006 05:30:00.000 GMT-0700,1.27890,1.28244,1.27719,1.27887,3672.7
01.09.2006 05:35:00.000 GMT-0700,1.27949,1.28011,1.27921,1.27971,4010.2
01.09.2006 05:40:00.000 GMT-0700,1.27959,1.28002,1.27824,1.27824,3152.1
01.09.2006 05:45:00.000 GMT-0700,1.27801,1.27855,1.27779,1.27805,4104.7
01.09.2006 05:50:00.000 GMT-0700,1.27793,1.27807,1.27625,1.27691,4885.8
01.09.2006 05:55:00.000 GMT-0700,1.27706,1.27781,1.27694,1.27763,4422.2
01.09.2006 06:00:00.000 GMT-0700,1.27788,1.27800,1.27724,1.27768,3334.5
01.09.2006 06:05:00.000 GMT-0700,1.27776,1.27776,1.27561,1.27575,3955.2
01.09.2006 06:10:00.000 GMT-0700,1.27567,1.27630,1.27563,1.27609,3638.3999999999996
01.09.2006 06:15:00.000 GMT-0700,1.27605,1.27660,1.27591,1.27600,4845
01.09.2006 06:20:00.000 GMT-0700,1.27591,1.27629,1.27565,1.27607,4000.8
01.09.2006 06:25:00.000 GMT-0700,1.27603,1.27671,1.27573,1.27653,4511.3
01.09.2006 06:30:00.000 GMT-0700,1.27666,1.27678,1.27617,1.27674,4610.4
01.09.2006 06:35:00.000 GMT-0700,1.27677,1.27729,1.27677,1.27698,4227.8
01.09.2006 06:40:00.000 GMT-0700,1.27685,1.27718,1.27658,1.27709,3692.2
01.09.2006 06:45:00.000 GMT-0700,1.27727,1.27749,1.27643,1.27643,3670.2999999999997
01.09.2006 06:50:00.000 GMT-0700,1.27662,1.27708,1.27656,1.27701,4190.6
