Gmt time,Open,High,Low,Close,Volume
01.01.2006 22:00:00.000,1.18436,1.18455,1.18424,1.18449,29156099609.375
01.01.2006 23:00:00.000,1.18434,1.18455,1.18410,1.18440,31019000000
02.01.2006 00:00:00.000,1.18428,1.18456,1.18421,1.18428,31191000000
02.01.2006 01:00:00.000,1.18438,1.18455,1.18420,1.18437,31104199218.75
02.01.2006 02:00:00.000,1.18442,1.18456,1.18409,1.18435,31642400390.625
02.01.2006 03:00:00.000,1.18448,1.18456,1.18418,1.18440,30876800781.25
02.01.2006 04:00:00.000,1.18441,1.18456,1.18418,1.18444,31550699218.75
02.01.2006 05:00:00.000,1.18430,1.18454,1.18418,1.18440,25963900390.625
02.01.2006 06:00:00.000,1.18435,1.18455,1.18421,1.18442,28943500000
02.01.2006 07:00:00.000,1.18441,1.18456,1.18418,1.18435,30004400390.625
02.01.2006 08:00:00.000,1.18441,1.18455,1.18423,1.18432,28444199218.75
02.01.2006 09:00:00.000,1.18433,1.18456,1.18423,1.18449,28888099609.375
02.01.2006 10:00:00.000,1.18450,1.18455,1.18417,1.18445,27543599609.375
02.01.2006 11:00:00.000,1.18443,1.18455,1.18416,1.18438,30834599609.375
02.01.2006 12:00:00.000,1.18437,1.18454,1.18415,1.18430,29908699218.75
02.01.2006 13:00:00.000,1.18450,1.18456,1.18422,1.18445,30724699218.75
02.01.2006 14:00:00.000,1.18443,1.18455,1.18414,1.18447,29240400390.625
02.01.2006 15:00:00.000,1.18440,1.18455,1.18419,1.18433,27972500000
02.01.2006 16:00:00.000,1.18432,1.18456,1.18416,1.18429,295734687500
02.01.2006 17:00:00.000,1.18442,1.18458,1.18424,1.18453,132277406250
02.01.2006 18:00:00.000,1.18450,1.18458,1.18415,1.18446,146557703125
02.01.2006 19:00:00.000,1.18436,1.18457,1.18422,1.18445,103549296875
02.01.2006 20:00:00.000,1.18445,1.18456,1.18408,1.18445,65144000000
02.01.2006 21:00:00.000,1.18391,1.18455,1.18391,1.18430,30153500000
02.01.2006 22:00:00.000,1.18440,1.18455,1.18088,1.18186,28683099609.375
02.01.2006 23:00:00.000,1.18176,1.18221,1.18093,1.18125,29639500000
03.01.2006 00:00:00.000,1.18115,1.18426,1.18108,1.18349,28872099609.375
03.01.2006 01:00:00.000,1.18358,1.18629,1.18343,1.18625,31078500000
03.01.2006 02:00:00.000,1.18608,1.18754,1.18587,1.18688,31553300781.25
03.01.2006 03:00:00.000,1.18698,1.18750,1.18669,1.18690,29657000000
03.01.2006 04:00:00.000,1.18696,1.18774,1.18683,1.18773,29700199218.75
03.01.2006 05:00:00.000,1.18770,1.19041,1.18760,1.18909,29599199218.75
03.01.2006 06:00:00.000,1.18907,1.19007,1.18719,1.18734,29654000000
03.01.2006 07:00:00.000,1.18756,1.18900,1.18707,1.18889,28938000000
03.01.2006 08:00:00.000,1.18908,1.19023,1.18745,1.18812,28964099609.375
03.01.2006 09:00:00.000,1.18799,1.18882,1.18598,1.18858,29735000000
03.01.2006 10:00:00.000,1.18852,1.18928,1.18793,1.18865,28297300781.25
03.01.2006 11:00:00.000,1.18863,1.18884,1.18744,1.18872,30045900390.625
03.01.2006 12:00:00.000,1.18879,1.18902,1.18730,1.18730,29675099609.375
03.01.2006 13:00:00.000,1.18728,1.18821,1.18633,1.18811,29038699218.75
03.01.2006 14:00:00.000,1.18805,1.19331,1.18711,1.19312,28864699218.75
03.01.2006 15:00:00.000,1.19370,1.19817,1.19313,1.19772,29749800781.25
03.01.2006 16:00:00.000,1.19762,1.19829,1.19604,1.19780,292741312500
03.01.2006 17:00:00.000,1.19763,1.19828,1.19633,1.19780,136334406250
03.01.2006 18:00:00.000,1.19778,1.19879,1.19706,1.19819,145551500000
03.01.2006 19:00:00.000,1.19831,1.20234,1.19746,1.20191,104953296875
03.01.2006 20:00:00.000,1.20197,1.20286,1.20081,1.20098,65291601562.5
03.01.2006 21:00:00.000,1.20060,1.20172,1.20048,1.20134,29453900390.625
03.01.2006 22:00:00.000,1.20140,1.20177,1.20011,1.20123,31099099609.375
03.01.2006 23:00:00.000,1.20119,1.20329,1.20119,1.20308,30253599609.375
04.01.2006 00:00:00.000,1.20301,1.20484,1.20237,1.20319,31954099609.375
04.01.2006 01:00:00.000,1.20315,1.20428,1.20253,1.20420,31532199218.75
04.01.2006 02:00:00.000,1.20417,1.20721,1.20410,1.20664,32186099609.375
04.01.2006 03:00:00.000,1.20667,1.20805,1.20625,1.20645,29642199218.75
04.01.2006 04:00:00.000,1.20645,1.20673,1.20543,1.20633,29738800781.25
04.01.2006 05:00:00.000,1.20620,1.20719,1.20564,1.20624,27205699218.75
04.01.2006 06:00:00.000,1.20622,1.20689,1.20457,1.20457,30713900390.625
04.01.2006 07:00:00.000,1.20459,1.20623,1.20328,1.20433,30911400390.625
04.01.2006 08:00:00.000,1.20421,1.20530,1.20399,1.20499,29047800781.25
04.01.2006 09:00:00.000,1.20512,1.20935,1.20431,1.20621,28267400390.625
04.01.2006 10:00:00.000,1.20622,1.20688,1.20530,1.20636,28344500000
04.01.2006 11:00:00.000,1.20639,1.20648,1.20534,1.20627,28879500000
04.01.2006 12:00:00.000,1.20642,1.21097,1.20642,1.20855,29655699218.75
04.01.2006 13:00:00.000,1.20853,1.21049,1.20731,1.20928,27901900390.625
04.01.2006 14:00:00.000,1.20929,1.20996,1.20679,1.20816,28431199218.75
04.01.2006 15:00:00.000,1.20826,1.20935,1.20717,1.20863,28552599609.375
04.01.2006 16:00:00.000,1.20840,1.20981,1.20703,1.20886,292179093750
04.01.2006 17:00:00.000,1.20891,1.21288,1.20870,1.21244,135914906250
04.01.2006 18:00:00.000,1.21267,1.21427,1.21188,1.21240,150762593750
04.01.2006 19:00:00.000,1.21237,1.21283,1.21155,1.21241,106036500000
04.01.2006 20:00:00.000,1.21248,1.21331,1.21217,1.21235,62530101562.5
04.01.2006 21:00:00.000,1.21205,1.21288,1.21146,1.21146,29610000000
04.01.2006 22:00:00.000,1.21172,1.21186,1.21040,1.21053,29965900390.625
04.01.2006 23:00:00.000,1.21055,1.21133,1.21011,1.21072,30325199218.75
05.01.2006 00:00:00.000,1.21070,1.21189,1.21009,1.21079,29937199218.75
05.01.2006 01:00:00.000,1.21093,1.21154,1.20912,1.21110,33201199218.75
05.01.2006 02:00:00.000,1.21093,1.21110,1.20993,1.21067,30757199218.75
05.01.2006 03:00:00.000,1.21066,1.21072,1.20935,1.20991,28704800781.25
05.01.2006 04:00:00.000,1.20995,1.21043,1.20923,1.20953,30425400390.625
05.01.2006 05:00:00.000,1.20947,1.21061,1.20926,1.21056,26860500000
05.01.2006 06:00:00.000,1.21063,1.21106,1.20913,1.20939,29396300781.25
05.01.2006 07:00:00.000,1.20935,1.21108,1.20828,1.20927,28680000000
05.01.2006 08:00:00.000,1.20927,1.21085,1.20825,1.21031,28902800781.25
05.01.2006 09:00:00.000,1.21035,1.21035,1.20897,1.20966,29140000000
05.01.2006 10:00:00.000,1.20980,1.21021,1.20754,1.20794,27674400390.625
05.01.2006 11:00:00.000,1.20802,1.20900,1.20663,1.20825,28993900390.625
05.01.2006 12:00:00.000,1.20830,1.20972,1.20764,1.20920,30242400390.625
05.01.2006 13:00:00.000,1.20917,1.21047,1.20740,1.20815,29142800781.25
05.01.2006 14:00:00.000,1.20823,1.20970,1.20774,1.20805,28460500000
05.01.2006 15:00:00.000,1.20805,1.20949,1.20762,1.20908,29242699218.75
05.01.2006 16:00:00.000,1.20888,1.21065,1.20828,1.20990,294330906250
05.01.2006 17:00:00.000,1.20973,1.21081,1.20838,1.20957,137440500000
05.01.2006 18:00:00.000,1.20957,1.21034,1.20918,1.20962,147417093750
05.01.2006 19:00:00.000,1.20971,1.21143,1.20971,1.21073,106265796875
05.01.2006 20:00:00.000,1.21068,1.21079,1.20962,1.20986,60241398437.5
05.01.2006 21:00:00.000,1.20943,1.21104,1.20943,1.21054,31560599609.375
05.01.2006 22:00:00.000,1.21086,1.21137,1.20906,1.20959,26910400390.625
05.01.2006 23:00:00.000,1.20962,1.21049,1.20955,1.21027,28694800781.25
06.01.2006 00:00:00.000,1.21022,1.21228,1.21011,1.21068,29005199218.75
06.01.2006 01:00:00.000,1.21077,1.21125,1.20794,1.20838,30148099609.375
06.01.2006 02:00:00.000,1.20841,1.20923,1.20820,1.20884,30555400390.625
06.01.2006 03:00:00.000,1.20893,1.20918,1.20827,1.20861,27273900390.625
06.01.2006 04:00:00.000,1.20866,1.20936,1.20838,1.20888,28818800781.25
06.01.2006 05:00:00.000,1.20883,1.20914,1.20847,1.20850,26728000000
06.01.2006 06:00:00.000,1.20859,1.20948,1.20821,1.20872,29135599609.375
06.01.2006 07:00:00.000,1.20875,1.20939,1.20807,1.20892,28681400390.625
06.01.2006 08:00:00.000,1.20906,1.20931,1.20854,1.20919,29080800781.25
06.01.2006 09:00:00.000,1.20923,1.21022,1.20860,1.20882,28744500000
06.01.2006 10:00:00.000,1.20882,1.20935,1.20857,1.20906,28276800781.25
06.01.2006 11:00:00.000,1.20896,1.20935,1.20842,1.20914,28717000000
06.01.2006 12:00:00.000,1.20920,1.21022,1.20896,1.20981,28733300781.25
06.01.2006 13:00:00.000,1.20982,1.21765,1.20899,1.21591,32642000000
06.01.2006 14:00:00.000,1.21597,1.21645,1.21315,1.21514,29298199218.75
06.01.2006 15:00:00.000,1.21526,1.21656,1.21432,1.21458,28913900390.625
06.01.2006 16:00:00.000,1.21456,1.21463,1.21234,1.21446,294325187500
06.01.2006 17:00:00.000,1.21455,1.21611,1.21444,1.21524,134521406250
06.01.2006 18:00:00.000,1.21526,1.21569,1.21444,1.21480,147239500000
06.01.2006 19:00:00.000,1.21482,1.21580,1.21470,1.21570,106472601562.5
06.01.2006 20:00:00.000,1.21576,1.21622,1.21480,1.21510,65232101562.5
06.01.2006 21:00:00.000,1.21488,1.21546,1.21462,1.21502,29913000000
08.01.2006 22:00:00.000,1.21482,1.21485,1.21367,1.21378,29306800781.25
08.01.2006 23:00:00.000,1.21377,1.21446,1.21338,1.21383,30016800781.25
09.01.2006 00:00:00.000,1.21388,1.21463,1.21267,1.21448,30468400390.625
09.01.2006 01:00:00.000,1.21489,1.21519,1.21358,1.21431,32958398437.5
09.01.2006 02:00:00.000,1.21429,1.21494,1.21353,1.21399,33091199218.75
09.01.2006 03:00:00.000,1.21407,1.21441,1.21315,1.21400,26574300781.25
09.01.2006 04:00:00.000,1.21399,1.21453,1.21355,1.21430,29347400390.625
09.01.2006 05:00:00.000,1.21415,1.21473,1.21370,1.21440,25717900390.625
09.01.2006 06:00:00.000,1.21436,1.21452,1.21227,1.21249,30848500000
09.01.2006 07:00:00.000,1.21252,1.21351,1.21048,1.21050,27068599609.375
09.01.2006 08:00:00.000,1.21047,1.21145,1.20817,1.20849,27862800781.25
09.01.2006 09:00:00.000,1.20863,1.20891,1.20637,1.20855,28582800781.25
09.01.2006 10:00:00.000,1.20848,1.20927,1.20724,1.20844,28477199218.75
09.01.2006 11:00:00.000,1.20841,1.20846,1.20685,1.20740,29866699218.75
09.01.2006 12:00:00.000,1.20739,1.20890,1.20687,1.20829,29551599609.375
09.01.2006 13:00:00.000,1.20822,1.20902,1.20731,1.20765,27963699218.75
09.01.2006 14:00:00.000,1.20764,1.20859,1.20724,1.20725,29492599609.375
09.01.2006 15:00:00.000,1.20716,1.20895,1.20639,1.20749,29440800781.25
09.01.2006 16:00:00.000,1.20730,1.20765,1.20533,1.20617,292647000000
09.01.2006 17:00:00.000,1.20615,1.20862,1.20593,1.20781,133888296875
09.01.2006 18:00:00.000,1.20787,1.20830,1.20724,1.20740,149923703125
09.01.2006 19:00:00.000,1.20745,1.20919,1.20724,1.20850,106885203125
09.01.2006 20:00:00.000,1.20848,1.20869,1.20798,1.20818,64207898437.5
09.01.2006 21:00:00.000,1.20796,1.20875,1.20793,1.20839,31900300781.25
09.01.2006 22:00:00.000,1.20845,1.20855,1.20759,1.20781,30752800781.25
09.01.2006 23:00:00.000,1.20774,1.20843,1.20704,1.20717,29165599609.375
10.01.2006 00:00:00.000,1.20721,1.20734,1.20623,1.20657,29914199218.75
10.01.2006 01:00:00.000,1.20676,1.20792,1.20663,1.20760,33198101562.5
10.01.2006 02:00:00.000,1.20749,1.20794,1.20460,1.20575,31183699218.75
10.01.2006 03:00:00.000,1.20574,1.20643,1.20513,1.20623,28399099609.375
10.01.2006 04:00:00.000,1.20637,1.20637,1.20495,1.20581,29241400390.625
10.01.2006 05:00:00.000,1.20587,1.20595,1.20489,1.20573,27413300781.25
10.01.2006 06:00:00.000,1.20567,1.20573,1.20467,1.20537,29394199218.75
10.01.2006 07:00:00.000,1.20552,1.20649,1.20358,1.20586,28442400390.625
10.01.2006 08:00:00.000,1.20584,1.20872,1.20583,1.20710,30146500000
10.01.2006 09:00:00.000,1.20691,1.20833,1.20662,1.20774,30205400390.625
10.01.2006 10:00:00.000,1.20791,1.21073,1.20732,1.21058,28839000000
10.01.2006 11:00:00.000,1.21063,1.21065,1.20829,1.20868,28628900390.625
10.01.2006 12:00:00.000,1.20877,1.20885,1.20727,1.20727,30703400390.625
10.01.2006 13:00:00.000,1.20736,1.20736,1.20398,1.20532,29743500000
10.01.2006 14:00:00.000,1.20532,1.20641,1.20402,1.20632,28265599609.375
