Gmt time,Open,High,Low,Close,Volume
01.01.2008 00:00:00.000,1.45841,1.45975,1.45770,1.45961,3918350017.5475006
01.01.2008 00:15:00.000,1.45965,1.45982,1.45933,1.45937,2554900001.525999
01.01.2008 00:30:00.000,1.45965,1.45982,1.45858,1.45865,3875099983.2154
01.01.2008 00:45:00.000,1.45858,1.45869,1.45768,1.45785,2609499992.3706
01.01.2008 01:00:00.000,1.45788,1.45803,1.45765,1.45780,2683350009.9181995
01.01.2008 01:15:00.000,1.45782,1.45803,1.45761,1.45784,2274249996.1853
01.01.2008 01:30:00.000,1.45788,1.45794,1.45754,1.45785,1501599981.3079998
01.01.2008 01:45:00.000,1.45787,1.45793,1.45754,1.45770,1914949985.5040998
01.01.2008 02:00:00.000,1.45770,1.45979,1.45766,1.45960,3039800014.4957
01.01.2008 02:15:00.000,1.45952,1.45983,1.45934,1.45954,2513637504.5776005
01.01.2008 02:30:00.000,1.45968,1.45987,1.45902,1.45925,4219974975.586
01.01.2008 02:45:00.000,1.45929,1.45936,1.45871,1.45913,1941846992.4929
01.01.2008 03:00:00.000,1.45916,1.45946,1.45887,1.45903,3507799964.905
01.01.2008 03:15:00.000,1.45898,1.45917,1.45885,1.45906,4744599994.6594
01.01.2008 03:30:00.000,1.45899,1.45917,1.45881,1.45894,5359037475.585899
01.01.2008 03:45:00.000,1.45885,1.45935,1.45854,1.45893,7083400024.414101
01.01.2008 04:00:00.000,1.45973,1.45983,1.45903,1.45960,6452646972.656401
01.01.2008 04:15:00.000,1.45968,1.45982,1.45903,1.45978,5374499980.926498
01.01.2008 04:30:00.000,1.45961,1.45974,1.45906,1.45940,6961000000
01.01.2008 04:45:00.000,1.45946,1.45984,1.45892,1.45962,8056849960.3272
01.01.2008 05:00:00.000,1.45964,1.45983,1.45917,1.45917,8070081527.710101
01.01.2008 05:15:00.000,1.45912,1.45953,1.45905,1.45927,10869100067.1387
01.01.2008 05:30:00.000,1.45929,1.45956,1.45917,1.45925,6745946990.9667
01.01.2008 05:45:00.000,1.45936,1.45945,1.45868,1.45885,8708899948.1201
01.01.2008 06:00:00.000,1.45877,1.45935,1.45856,1.45916,12151196975.7081
01.01.2008 06:15:00.000,1.45916,1.45957,1.45860,1.45948,11447599945.068401
01.01.2008 06:30:00.000,1.45944,1.46003,1.45889,1.46001,8087284515.381
01.01.2008 06:45:00.000,1.46005,1.46015,1.45990,1.46008,8012749999.999801
01.01.2008 07:00:00.000,1.45946,1.45964,1.45853,1.45877,11378787460.3273
01.01.2008 07:15:00.000,1.45883,1.45965,1.45863,1.45947,9703596923.828098
01.01.2008 07:30:00.000,1.45941,1.45949,1.45857,1.45857,11502750061.0354
01.01.2008 07:45:00.000,1.45865,1.45917,1.45809,1.45853,13984099975.585798
