Local time,Open,High,Low,Close,Volume
01.05.2008 00:00:00.000 GMT-0700,1.56307,1.56339,1.56251,1.56284,4803.799999999999
01.05.2008 00:05:00.000 GMT-0700,1.56279,1.56305,1.56176,1.56215,4133.4
01.05.2008 00:10:00.000 GMT-0700,1.56212,1.56230,1.56050,1.56082,3940.35
01.05.2008 00:15:00.000 GMT-0700,1.56090,1.56127,1.55834,1.55852,4563.5
01.05.2008 00:20:00.000 GMT-0700,1.55835,1.55943,1.55671,1.55706,4932.299999999999
01.05.2008 00:25:00.000 GMT-0700,1.55722,1.55753,1.55627,1.55693,3763.6000000000004
01.05.2008 00:30:00.000 GMT-0700,1.55705,1.55770,1.55568,1.55574,5896.799999999999
01.05.2008 00:35:00.000 GMT-0700,1.55592,1.55658,1.55416,1.55496,4788.299999999999
01.05.2008 00:40:00.000 GMT-0700,1.55496,1.55542,1.55395,1.55493,4338.599999999999
01.05.2008 00:45:00.000 GMT-0700,1.55490,1.55546,1.55302,1.55340,4983.4
01.05.2008 00:50:00.000 GMT-0700,1.55341,1.55384,1.55237,1.55318,4568.15
01.05.2008 00:55:00.000 GMT-0700,1.55325,1.55425,1.55142,1.55325,3850.2999999999997
01.05.2008 01:00:00.000 GMT-0700,1.55335,1.55444,1.55308,1.55398,4555
01.05.2008 01:05:00.000 GMT-0700,1.55434,1.55467,1.55302,1.55340,4666.9
01.05.2008 01:10:00.000 GMT-0700,1.55329,1.55432,1.55324,1.55368,4393.5909
01.05.2008 01:15:00.000 GMT-0700,1.55351,1.55387,1.55252,1.55269,4090.1000000000004
01.05.2008 01:20:00.000 GMT-0700,1.55292,1.55366,1.55242,1.55314,3107.4999999999995
01.05.2008 01:25:00.000 GMT-0700,1.55341,1.55385,1.55272,1.55379,3284.5
01.05.2008 01:30:00.000 GMT-0700,1.55382,1.55463,1.55345,1.55408,4256.4875
01.05.2008 01:35:00.000 GMT-0700,1.55400,1.55435,1.55299,1.55320,4002.45
01.05.2008 01:40:00.000 GMT-0700,1.55318,1.55346,1.55157,1.55163,3764.5
