Gmt time,Open,High,Low,Close,Volume
01.05.2009 00:00:00.000,1.32435,1.32530,1.32435,1.32510,1768899993.8964999
01.05.2009 00:05:00.000,1.32510,1.32600,1.32480,1.32580,1049600009.9183
01.05.2009 00:10:00.000,1.32580,1.32595,1.32455,1.32460,1593199981.6894999
01.05.2009 00:15:00.000,1.32470,1.32500,1.32420,1.32430,1042399986.2671
01.05.2009 00:20:00.000,1.32430,1.32525,1.32430,1.32520,744399986.2671
01.05.2009 00:25:00.000,1.32525,1.32535,1.32450,1.32470,646000000
01.05.2009 00:30:00.000,1.32470,1.32550,1.32470,1.32540,585199985.5042
01.05.2009 00:35:00.000,1.32540,1.32560,1.32520,1.32540,471199996.9483
01.05.2009 00:40:00.000,1.32540,1.32610,1.32525,1.32530,1334800010.681
01.05.2009 00:45:00.000,1.32530,1.32555,1.32530,1.32530,228200000.7629
01.05.2009 00:50:00.000,1.32530,1.32585,1.32508,1.32560,1647600006.1035001
01.05.2009 00:55:00.000,1.32560,1.32600,1.32460,1.32460,1582599967.9565
01.05.2009 01:00:00.000,1.32460,1.32590,1.32460,1.32570,1373891014.0990999
01.05.2009 01:05:00.000,1.32580,1.32600,1.32555,1.32590,955200004.5777
01.05.2009 01:10:00.000,1.32590,1.32665,1.32555,1.32665,935199981.6895
01.05.2009 01:15:00.000,1.32665,1.32665,1.32580,1.32640,961399993.8964
01.05.2009 01:20:00.000,1.32635,1.32645,1.32590,1.32610,1141999984.7413
01.05.2009 01:25:00.000,1.32610,1.32610,1.32525,1.32585,1415799980.1636
01.05.2009 01:30:00.000,1.32585,1.32585,1.32510,1.32520,1515700004.5776
01.05.2009 01:35:00.000,1.32530,1.32560,1.32520,1.32545,895599990.8447
01.05.2009 01:40:00.000,1.32550,1.32600,1.32540,1.32578,506800006.8664
01.05.2009 01:45:00.000,1.32590,1.32590,1.32530,1.32530,891000001.9074
01.05.2009 01:50:00.000,1.32530,1.32550,1.32510,1.32510,559600008.0108
01.05.2009 01:55:00.000,1.32510,1.32520,1.32475,1.32500,801799987.793
01.05.2009 02:00:00.000,1.32505,1.32525,1.32485,1.32520,419400004.3869
01.05.2009 02:05:00.000,1.32525,1.32605,1.32505,1.32605,808200008.3922
01.05.2009 02:10:00.000,1.32605,1.32615,1.32555,1.32570,629199996.9483
01.05.2009 02:15:00.000,1.32570,1.32640,1.32565,1.32635,455400001.5259
01.05.2009 02:20:00.000,1.32635,1.32660,1.32575,1.32580,1559400024.414
01.05.2009 02:25:00.000,1.32585,1.32595,1.32565,1.32570,1425699996.9483
01.05.2009 02:30:00.000,1.32565,1.32570,1.32535,1.32560,575400009.1554
01.05.2009 02:35:00.000,1.32560,1.32580,1.32555,1.32570,391800004.0054
01.05.2009 02:40:00.000,1.32570,1.32580,1.32530,1.32530,232099998.4742
01.05.2009 02:45:00.000,1.32530,1.32530,1.32500,1.32510,513999996.1853
01.05.2009 02:50:00.000,1.32495,1.32530,1.32475,1.32490,874799987.793
01.05.2009 02:55:00.000,1.32490,1.32510,1.32470,1.32500,633899986.2671
01.05.2009 03:00:00.000,1.32505,1.32525,1.32495,1.32495,331490991.5924
01.05.2009 03:05:00.000,1.32495,1.32535,1.32490,1.32520,1358799989.7003
01.05.2009 03:10:00.000,1.32515,1.32520,1.32490,1.32495,1142799995.4224
01.05.2009 03:15:00.000,1.32495,1.32510,1.32490,1.32510,1130600009.9180999
01.05.2009 03:20:00.000,1.32505,1.32525,1.32490,1.32525,467599999.4278
01.05.2009 03:25:00.000,1.32525,1.32530,1.32510,1.32520,285400007.248
01.05.2009 03:30:00.000,1.32520,1.32550,1.32510,1.32515,434400003.4332
01.05.2009 03:35:00.000,1.32520,1.32560,1.32515,1.32560,304600000.3815
01.05.2009 03:40:00.000,1.32565,1.32565,1.32540,1.32540,268400005.3406
01.05.2009 03:45:00.000,1.32550,1.32550,1.32510,1.32510,644799975.872
01.05.2009 03:50:00.000,1.32510,1.32545,1.32510,1.32545,312599996.5667
01.05.2009 03:55:00.000,1.32535,1.32545,1.32520,1.32525,483799987.79279995
01.05.2009 04:00:00.000,1.32525,1.32550,1.32505,1.32540,720900001.5258
01.05.2009 04:05:00.000,1.32540,1.32550,1.32511,1.32540,344399996.2806
01.05.2009 04:10:00.000,1.32550,1.32550,1.32485,1.32485,528599997.5204
01.05.2009 04:15:00.000,1.32485,1.32530,1.32485,1.32525,722000015.2588
01.05.2009 04:20:00.000,1.32520,1.32530,1.32492,1.32520,782999984.7412
01.05.2009 04:25:00.000,1.32520,1.32560,1.32520,1.32560,229199997.902
01.05.2009 04:30:00.000,1.32560,1.32575,1.32500,1.32510,632000003.8148
01.05.2009 04:35:00.000,1.32510,1.32526,1.32510,1.32525,253400008.20160002
01.05.2009 04:40:00.000,1.32540,1.32580,1.32530,1.32575,297000001.9074
01.05.2009 04:45:00.000,1.32575,1.32585,1.32555,1.32560,561600008.9646
01.05.2009 04:50:00.000,1.32565,1.32590,1.32560,1.32590,353199997.9019
01.05.2009 04:55:00.000,1.32585,1.32670,1.32580,1.32640,849700031.2805
01.05.2009 05:00:00.000,1.32645,1.32730,1.32640,1.32720,1411200012.207
01.05.2009 05:05:00.000,1.32720,1.32720,1.32665,1.32700,1518699996.9483
01.05.2009 05:10:00.000,1.32685,1.32730,1.32670,1.32720,1321400009.1553001
01.05.2009 05:15:00.000,1.32715,1.32725,1.32699,1.32715,859900005.3407
01.05.2009 05:20:00.000,1.32720,1.32740,1.32695,1.32705,998000007.6294
01.05.2009 05:25:00.000,1.32705,1.32705,1.32635,1.32680,2981800018.3106
01.05.2009 05:30:00.000,1.32680,1.32705,1.32630,1.32640,1515000015.2588
01.05.2009 05:35:00.000,1.32645,1.32665,1.32640,1.32660,488999999.0464
01.05.2009 05:40:00.000,1.32660,1.32670,1.32645,1.32665,496800004.9592
01.05.2009 05:45:00.000,1.32665,1.32710,1.32665,1.32700,754399997.7111
01.05.2009 05:50:00.000,1.32700,1.32745,1.32690,1.32740,450200006.485
01.05.2009 05:55:00.000,1.32740,1.32760,1.32690,1.32700,658900009.1553
01.05.2009 06:00:00.000,1.32695,1.32740,1.32695,1.32730,540800003.0518
01.05.2009 06:05:00.000,1.32735,1.32740,1.32710,1.32720,580800003.0519
01.05.2009 06:10:00.000,1.32715,1.32715,1.32675,1.32690,728999992.3706
01.05.2009 06:15:00.000,1.32690,1.32740,1.32685,1.32730,915400009.1553
01.05.2009 06:20:00.000,1.32735,1.32775,1.32730,1.32755,826400001.526
01.05.2009 06:25:00.000,1.32755,1.32775,1.32745,1.32745,963400003.4333
01.05.2009 06:30:00.000,1.32745,1.32940,1.32745,1.32880,2380200027.4658
01.05.2009 06:35:00.000,1.32880,1.32930,1.32850,1.32920,1439100006.1035
01.05.2009 06:40:00.000,1.32920,1.33020,1.32910,1.32975,1728300025.9399
01.05.2009 06:45:00.000,1.32980,1.32985,1.32920,1.32930,1104100006.1036
01.05.2009 06:50:00.000,1.32920,1.32945,1.32885,1.32905,985099990.8447
01.05.2009 06:55:00.000,1.32910,1.32920,1.32855,1.32915,1587899978.6376998
01.05.2009 07:00:00.000,1.32910,1.33070,1.32910,1.32925,2011500030.5175
01.05.2009 07:05:00.000,1.32925,1.32945,1.32845,1.32880,1130799987.7929
01.05.2009 07:10:00.000,1.32880,1.32885,1.32840,1.32870,1635800033.5693002
01.05.2009 07:15:00.000,1.32870,1.32925,1.32865,1.32925,1143599990.8446999
01.05.2009 07:20:00.000,1.32920,1.32945,1.32900,1.32910,1858299987.7928998
01.05.2009 07:25:00.000,1.32910,1.32910,1.32775,1.32810,1814599975.586
01.05.2009 07:30:00.000,1.32810,1.32865,1.32810,1.32825,908299987.7929
01.05.2009 07:35:00.000,1.32825,1.32880,1.32820,1.32870,1165599983.2154
01.05.2009 07:40:00.000,1.32865,1.32865,1.32835,1.32840,538400005.3405
01.05.2009 07:45:00.000,1.32835,1.32840,1.32685,1.32705,1410099983.2154
01.05.2009 07:50:00.000,1.32710,1.32765,1.32670,1.32750,2353500000
01.05.2009 07:55:00.000,1.32760,1.32870,1.32755,1.32825,1482640014.6483998
01.05.2009 08:00:00.000,1.32825,1.32840,1.32730,1.32735,3841600021.3622
01.05.2009 08:05:00.000,1.32735,1.32735,1.32580,1.32660,1853799987.793
01.05.2009 08:10:00.000,1.32660,1.32665,1.32545,1.32565,1310899993.8965
01.05.2009 08:15:00.000,1.32555,1.32625,1.32515,1.32520,2027500000
01.05.2009 08:20:00.000,1.32520,1.32520,1.32385,1.32455,3585200012.207
01.05.2009 08:25:00.000,1.32455,1.32530,1.32425,1.32425,1958899978.6377
01.05.2009 08:30:00.000,1.32425,1.32490,1.32325,1.32480,2394600006.1035004
01.05.2009 08:35:00.000,1.32480,1.32480,1.32270,1.32280,2275500030.5175
01.05.2009 08:40:00.000,1.32280,1.32460,1.32280,1.32435,3323700012.207
01.05.2009 08:45:00.000,1.32440,1.32495,1.32400,1.32485,1802199981.6895
01.05.2009 08:50:00.000,1.32485,1.32580,1.32440,1.32545,1729099990.8447
01.05.2009 08:55:00.000,1.32540,1.32630,1.32500,1.32615,1071600021.3623
01.05.2009 09:00:00.000,1.32615,1.32665,1.32615,1.32645,1378299987.793
01.05.2009 09:05:00.000,1.32645,1.32695,1.32635,1.32685,926400001.5259
01.05.2009 09:10:00.000,1.32685,1.32710,1.32635,1.32645,562399997.7112
01.05.2009 09:15:00.000,1.32645,1.32645,1.32555,1.32560,656000009.5368
01.05.2009 09:20:00.000,1.32560,1.32575,1.32530,1.32565,699099998.4741
01.05.2009 09:25:00.000,1.32570,1.32570,1.32540,1.32545,699099983.2154
01.05.2009 09:30:00.000,1.32545,1.32605,1.32545,1.32595,987199996.9482
01.05.2009 09:35:00.000,1.32600,1.32720,1.32600,1.32674,1550599978.447
01.05.2009 09:40:00.000,1.32670,1.32690,1.32600,1.32610,1088299964.9048
01.05.2009 09:45:00.000,1.32615,1.32645,1.32585,1.32590,1082200012.207
01.05.2009 09:50:00.000,1.32590,1.32610,1.32425,1.32450,1483100021.3623
01.05.2009 09:55:00.000,1.32450,1.32580,1.32420,1.32520,1608100021.3623002
01.05.2009 10:00:00.000,1.32515,1.32695,1.32490,1.32640,1697500034.3323002
01.05.2009 10:05:00.000,1.32640,1.32730,1.32630,1.32705,2086099990.8447
01.05.2009 10:10:00.000,1.32705,1.32790,1.32695,1.32745,1175600006.1036
01.05.2009 10:15:00.000,1.32745,1.32820,1.32745,1.32820,1697899978.6377
01.05.2009 10:20:00.000,1.32820,1.32985,1.32810,1.32930,2552100006.1035004
01.05.2009 10:25:00.000,1.32930,1.32930,1.32875,1.32875,1378399978.6377
01.05.2009 10:30:00.000,1.32880,1.33065,1.32880,1.33060,2773699996.9483004
01.05.2009 10:35:00.000,1.33055,1.33100,1.32980,1.33035,2538900024.4141
01.05.2009 10:40:00.000,1.33045,1.33140,1.33040,1.33130,3346000030.5176
01.05.2009 10:45:00.000,1.33130,1.33225,1.33130,1.33210,2889699981.6895
01.05.2009 10:50:00.000,1.33210,1.33260,1.33195,1.33250,2383699981.6894
01.05.2009 10:55:00.000,1.33255,1.33275,1.33130,1.33135,2619199981.6895
01.05.2009 11:00:00.000,1.33130,1.33130,1.32820,1.32860,3362500000.0001
01.05.2009 11:05:00.000,1.32860,1.32870,1.32720,1.32800,1876200027.4658003
01.05.2009 11:10:00.000,1.32795,1.32840,1.32760,1.32770,2300699981.6893997
01.05.2009 11:15:00.000,1.32770,1.32795,1.32735,1.32790,2098799972.5343
01.05.2009 11:20:00.000,1.32790,1.32885,1.32790,1.32865,1618499984.7413
01.05.2009 11:25:00.000,1.32860,1.32915,1.32850,1.32900,969799999.2371
01.05.2009 11:30:00.000,1.32900,1.32925,1.32865,1.32905,727399993.8965
01.05.2009 11:35:00.000,1.32905,1.32920,1.32860,1.32860,960900001.5259
01.05.2009 11:40:00.000,1.32865,1.32965,1.32860,1.32940,1631899963.3788998
01.05.2009 11:45:00.000,1.32940,1.33020,1.32920,1.32970,1969000000
01.05.2009 11:50:00.000,1.32965,1.32965,1.32850,1.32860,2024399978.6377
01.05.2009 11:55:00.000,1.32870,1.32880,1.32830,1.32860,878099980.3543
01.05.2009 12:00:00.000,1.32840,1.32860,1.32790,1.32810,1521299987.7929997
01.05.2009 12:05:00.000,1.32815,1.32820,1.32755,1.32800,1562099975.5858998
01.05.2009 12:10:00.000,1.32805,1.32995,1.32800,1.32940,1393800010.6812
01.05.2009 12:15:00.000,1.32950,1.32980,1.32880,1.32885,1712000015.2588
01.05.2009 12:20:00.000,1.32880,1.32945,1.32870,1.32935,1869399993.8965
01.05.2009 12:25:00.000,1.32940,1.32945,1.32805,1.32805,1839200012.207
01.05.2009 12:30:00.000,1.32815,1.32860,1.32770,1.32790,1871100006.1035
01.05.2009 12:35:00.000,1.32790,1.32840,1.32660,1.32675,2263800048.8281
01.05.2009 12:40:00.000,1.32680,1.32700,1.32580,1.32635,2618899978.6377
01.05.2009 12:45:00.000,1.32635,1.32640,1.32490,1.32585,2525399963.3789
01.05.2009 12:50:00.000,1.32580,1.32655,1.32570,1.32605,1940500000
01.05.2009 12:55:00.000,1.32610,1.32640,1.32565,1.32610,896300003.0518
01.05.2009 13:00:00.000,1.32605,1.32625,1.32480,1.32530,1788699996.9483
01.05.2009 13:05:00.000,1.32530,1.32560,1.32480,1.32525,2305999999.9999
01.05.2009 13:10:00.000,1.32525,1.32535,1.32440,1.32440,1342700027.4657
01.05.2009 13:15:00.000,1.32440,1.32530,1.32390,1.32525,1803600036.6211
01.05.2009 13:20:00.000,1.32525,1.32670,1.32520,1.32650,3371600006.1034994
01.05.2009 13:25:00.000,1.32650,1.32660,1.32580,1.32625,1132000000
01.05.2009 13:30:00.000,1.32625,1.32660,1.32520,1.32520,1515599990.8447
01.05.2009 13:35:00.000,1.32515,1.32630,1.32500,1.32595,2159200027.4658003
01.05.2009 13:40:00.000,1.32595,1.32670,1.32565,1.32630,1737900024.414
01.05.2009 13:45:00.000,1.32625,1.32635,1.32530,1.32530,1694500000
01.05.2009 13:50:00.000,1.32540,1.32735,1.32540,1.32710,1964400024.414
01.05.2009 13:55:00.000,1.32710,1.32790,1.32665,1.32680,2364399993.8965
01.05.2009 14:00:00.000,1.32680,1.32770,1.32580,1.32710,3261600097.6563
01.05.2009 14:05:00.000,1.32710,1.32740,1.32600,1.32600,2719999938.9646997
01.05.2009 14:10:00.000,1.32585,1.32695,1.32510,1.32645,2981000030.5175
01.05.2009 14:15:00.000,1.32650,1.32680,1.32410,1.32455,2395100006.1036005
01.05.2009 14:20:00.000,1.32458,1.32535,1.32430,1.32525,2721500091.5527997
01.05.2009 14:25:00.000,1.32525,1.32570,1.32475,1.32545,2127299987.7929997
01.05.2009 14:30:00.000,1.32545,1.32600,1.32505,1.32600,1158900024.414
01.05.2009 14:35:00.000,1.32600,1.32650,1.32540,1.32550,1748000030.5175
01.05.2009 14:40:00.000,1.32550,1.32620,1.32480,1.32570,1465399993.8964999
01.05.2009 14:45:00.000,1.32570,1.32600,1.32515,1.32560,1453300010.6811
01.05.2009 14:50:00.000,1.32555,1.32625,1.32525,1.32625,2842199981.6893997
01.05.2009 14:55:00.000,1.32620,1.32620,1.32507,1.32520,1572600006.1035
01.05.2009 15:00:00.000,1.32520,1.32675,1.32510,1.32620,2051699981.6894
01.05.2009 15:05:00.000,1.32620,1.32700,1.32600,1.32600,1846300018.3105001
01.05.2009 15:10:00.000,1.32600,1.32730,1.32600,1.32710,2029099990.8448
01.05.2009 15:15:00.000,1.32710,1.32750,1.32660,1.32675,1285600006.1035
01.05.2009 15:20:00.000,1.32675,1.32730,1.32655,1.32730,1283800018.3105001
01.05.2009 15:25:00.000,1.32730,1.32740,1.32685,1.32720,971500007.6294
01.05.2009 15:30:00.000,1.32710,1.32770,1.32710,1.32735,1692099975.586
01.05.2009 15:35:00.000,1.32735,1.32760,1.32710,1.32755,1256899978.6377
01.05.2009 15:40:00.000,1.32750,1.32760,1.32725,1.32760,932199996.9482
01.05.2009 15:45:00.000,1.32760,1.32760,1.32695,1.32695,1452599960.3272
01.05.2009 15:50:00.000,1.32695,1.32700,1.32575,1.32595,1377899993.8966
01.05.2009 15:55:00.000,1.32595,1.32700,1.32595,1.32645,1887000000.0000002
01.05.2009 16:00:00.000,1.32650,1.32650,1.32555,1.32625,1480199996.9483001
01.05.2009 16:05:00.000,1.32625,1.32655,1.32600,1.32640,1013800022.1252
01.05.2009 16:10:00.000,1.32645,1.32715,1.32600,1.32710,1097600013.7329001
01.05.2009 16:15:00.000,1.32710,1.32730,1.32690,1.32725,1267900009.1552
01.05.2009 16:20:00.000,1.32730,1.32730,1.32710,1.32715,869700012.207
01.05.2009 16:25:00.000,1.32715,1.32715,1.32640,1.32650,1023899993.8966
01.05.2009 16:30:00.000,1.32650,1.32710,1.32650,1.32670,848300010.6811
01.05.2009 16:35:00.000,1.32680,1.32680,1.32580,1.32660,2070100006.1035001
01.05.2009 16:40:00.000,1.32665,1.32680,1.32650,1.32655,818700012.207
01.05.2009 16:45:00.000,1.32660,1.32665,1.32600,1.32635,729499996.1854
01.05.2009 16:50:00.000,1.32635,1.32650,1.32600,1.32650,900299999.237
01.05.2009 16:55:00.000,1.32650,1.32665,1.32565,1.32565,892300010.6811
01.05.2009 17:00:00.000,1.32565,1.32660,1.32560,1.32640,1085600021.3623
01.05.2009 17:05:00.000,1.32645,1.32700,1.32630,1.32695,1017600006.1035
01.05.2009 17:10:00.000,1.32695,1.32710,1.32665,1.32690,508600006.1035
01.05.2009 17:15:00.000,1.32700,1.32720,1.32660,1.32670,819499984.7413
01.05.2009 17:20:00.000,1.32670,1.32670,1.32620,1.32630,937700012.207
01.05.2009 17:25:00.000,1.32635,1.32665,1.32615,1.32630,669000000.0001
01.05.2009 17:30:00.000,1.32630,1.32660,1.32610,1.32650,906599990.8448
01.05.2009 17:35:00.000,1.32650,1.32670,1.32635,1.32660,694700004.5776
01.05.2009 17:40:00.000,1.32655,1.32680,1.32625,1.32630,888199993.1336
01.05.2009 17:45:00.000,1.32635,1.32660,1.32635,1.32640,365399999.6184
01.05.2009 17:50:00.000,1.32650,1.32650,1.32560,1.32600,887099990.8448
01.05.2009 17:55:00.000,1.32615,1.32615,1.32575,1.32600,392200000.763
01.05.2009 18:00:00.000,1.32600,1.32655,1.32600,1.32645,865400016.7848
01.05.2009 18:05:00.000,1.32650,1.32680,1.32645,1.32680,970100013.7329
01.05.2009 18:10:00.000,1.32680,1.32680,1.32635,1.32635,380400001.5259
01.05.2009 18:15:00.000,1.32635,1.32670,1.32625,1.32635,621800012.5885
01.05.2009 18:20:00.000,1.32635,1.32660,1.32635,1.32650,427200002.6703
01.05.2009 18:25:00.000,1.32645,1.32695,1.32645,1.32680,551400001.526
01.05.2009 18:30:00.000,1.32680,1.32730,1.32680,1.32720,922199996.9482
01.05.2009 18:35:00.000,1.32720,1.32720,1.32650,1.32660,1412399993.8965
01.05.2009 18:40:00.000,1.32650,1.32670,1.32590,1.32630,1582500015.2588
01.05.2009 18:45:00.000,1.32630,1.32675,1.32620,1.32625,1004599998.4741
01.05.2009 18:50:00.000,1.32630,1.32630,1.32600,1.32620,1028599987.0301
01.05.2009 18:55:00.000,1.32620,1.32680,1.32620,1.32660,987799980.1636
01.05.2009 19:00:00.000,1.32660,1.32670,1.32660,1.32670,396400001.5258
01.05.2009 19:05:00.000,1.32670,1.32670,1.32635,1.32655,553600000.3815
01.05.2009 19:10:00.000,1.32650,1.32655,1.32615,1.32615,671000000
01.05.2009 19:15:00.000,1.32615,1.32675,1.32570,1.32675,810299995.4223
01.05.2009 19:20:00.000,1.32675,1.32710,1.32670,1.32710,642400009.1553
01.05.2009 19:25:00.000,1.32705,1.32705,1.32545,1.32570,1217399978.6378
01.05.2009 19:30:00.000,1.32580,1.32580,1.32550,1.32565,642200004.5777
01.05.2009 19:35:00.000,1.32565,1.32630,1.32565,1.32625,472599998.4741
01.05.2009 19:40:00.000,1.32630,1.32630,1.32585,1.32600,921700000.763
01.05.2009 19:45:00.000,1.32600,1.32610,1.32570,1.32580,419499992.3706
01.05.2009 19:50:00.000,1.32590,1.32610,1.32580,1.32600,415199995.0409
01.05.2009 19:55:00.000,1.32600,1.32680,1.32600,1.32650,675500007.6295
01.05.2009 20:00:00.000,1.32640,1.32650,1.32595,1.32630,577199996.9481
01.05.2009 20:05:00.000,1.32620,1.32700,1.32620,1.32700,243399996.75739998
01.05.2009 20:10:00.000,1.32680,1.32690,1.32670,1.32680,174599999.4278
01.05.2009 20:15:00.000,1.32690,1.32700,1.32654,1.32700,417399986.267
01.05.2009 20:20:00.000,1.32700,1.32710,1.32670,1.32680,116100000.3815
01.05.2009 20:25:00.000,1.32680,1.32690,1.32620,1.32640,318999999.5232
01.05.2009 20:30:00.000,1.32640,1.32690,1.32640,1.32655,263600004.67310002
01.05.2009 20:35:00.000,1.32650,1.32660,1.32625,1.32625,188599996.56669998
01.05.2009 20:40:00.000,1.32630,1.32640,1.32595,1.32610,310200002.6702
01.05.2009 20:45:00.000,1.32620,1.32670,1.32620,1.32670,328099996.5668
01.05.2009 20:50:00.000,1.32670,1.32680,1.32605,1.32660,399600000.3814
01.05.2009 20:55:00.000,1.32660,1.32705,1.32580,1.32705,331900006.5327
03.05.2009 21:00:00.000,1.32678,1.32758,1.32636,1.32753,1089000000
03.05.2009 21:05:00.000,1.32761,1.32786,1.32732,1.32764,785599998.474
03.05.2009 21:10:00.000,1.32767,1.32779,1.32733,1.32773,893700019.8364
03.05.2009 21:15:00.000,1.32774,1.32778,1.32745,1.32745,1750299987.793
03.05.2009 21:20:00.000,1.32737,1.32778,1.32726,1.32767,1181100006.1036
03.05.2009 21:25:00.000,1.32772,1.32777,1.32749,1.32775,1094599975.586
03.05.2009 21:30:00.000,1.32773,1.32784,1.32758,1.32768,894200002.6703
03.05.2009 21:35:00.000,1.32772,1.32776,1.32748,1.32763,854200004.5776
03.05.2009 21:40:00.000,1.32754,1.32803,1.32750,1.32797,581700000.763
03.05.2009 21:45:00.000,1.32799,1.32857,1.32799,1.32822,891000015.2587
03.05.2009 21:50:00.000,1.32824,1.32848,1.32820,1.32831,792200004.5776
03.05.2009 21:55:00.000,1.32829,1.32830,1.32753,1.32797,1112200012.2069001
03.05.2009 22:00:00.000,1.32790,1.32899,1.32770,1.32826,1015399993.8966
03.05.2009 22:05:00.000,1.32833,1.32878,1.32816,1.32872,806799987.793
